County,City,Type
Alcona,Lincoln,Unknown
Alger,Wetmore,Landfill
Allegan,Allegan,Industrial
Allegan,Holland,Industrial
Allegan,Martin,Landfill
Allegan,Wayland,Industrial
Allegan,Zeeland,Landfill
Allegan ,Otsego,Landfill
Allegan ,Otsego,Paper Manufacturing
Alpena,Alpena,Military
Alpena,Alpena,Tannery
Antrim,Elk Rapids,Industrial
Barry,Hastings,Fire Related
Barry,Hastings,Landfill
Barry,Middleville,Wastewater
Barry,Plainwell,Landfill
Barry,Yankee Springs,Landfill
Bay,Bay City,Fire Station
Bay,Bay City,Industrial
Bay,Bay City,Industrial
Bay,Bay City,Landfill
Bay,Bay City,Landfill
Bay ,Bay City,Industrial
Bay ,Bay City,Landfill
Berrien,Benton Harbor,Plating
Berrien,Eau Claire,Plating
Berrien,Niles,Fire Related
Berrien,Niles,Industrial
Berrien,Niles,Landfill
Berrien,Watervliet,Landfill
Calhoun,Battle Creek,Airport
Calhoun,Battle Creek,Military
Cass,Niles,Fire Related
Charlevoix ,Charlevoix ,Laundromat/Dry Cleaner
Charlevoix ,East Jordan,Landfill
Cheboygan ,Cheboygan,Landfill
Chippewa,N/A,Military
Clare,Clare,Plating
Clare,Farwell,Landfill
Clare,Harrison,Landfill
Clare,Lake George,Laundromat/Dry Cleaner
Clinton,Grand Ledge,Military
Clinton,Lansing,Airport
Clinton,Lansing ,Military
Crawford,Grayling,Military
Crawford,Grayling,Military
Crawford,Grayling,Military
Crawford,Grayling,Wastewater
Delta,Escanaba,Airport
Delta,Escanaba,Landfill
Delta,Escanaba,Military
Dickinson,Kingsford,Landfill
Dickinson ,Kingsford,Airport
Dickinson ,Iron Mountain,Landfill
Eaton,Dimondale,Fire Related
Eaton,Eaton Rapids,Landfill
Eaton,Potterville,Landfill
Eaton ,Eaton Rapids,Laundromat/DryCleaner
Emmet,Pellston,Airport
Genesee,Burton,Industrial
Genesee,Davison,Landfill
Genesee,Flint,Airport
Genesee,Flint,Industrial
Genesee,Flint,Industrial
Genesee,Flint,Industrial
Genesee,Flint,Industrial
Genesee,Flint,Landfill
Genesee,Flint,Landfill
Genesee,Flint Township  ,Industrial
Genesee,Genesee Township,Landfill
Genesee,Montrose Township,Landfill
Genesee,Otisville,Landfill
Genesee ,Burton,Industrial
Genesee ,Clio,Fire Related
Genesee ,Flint,Industrial
Genesee ,Flushing,Laundromat/DryCleaner
Gogebic,Ironwood,Airport
Grand Traverse,Traverse City,Airport
Grand Traverse,Traverse City,Fire Related
Grand Traverse,Traverse City,Military
Gratiot,Alma,Refinery
Gratiot,Ithaca,Landfill
Gratiot ,Ithaca,Industrial
Houghton,Calumet,Airport
Houghton,Calumet,Wastewater
Houghton ,Houghton,Landfill
Huron,Bad Axe,Landfill
Ingham,Lansing,Industrial
Ingham,Lansing,Landfill
Ingham,Lansing,Laundromat/Dry Cleaner
Ingham,Lansing,Plating
Ingham ,Lansing,Industrial
Ionia,Belding,Landfill
Ionia,Belding,Wastewater
Ionia,Ionia,Landfill
Ionia,Saranac,Landfill
Ionia,Saranac,Plating
Ionia ,Lowell,Landfill
Iosco,AuSable Township,Unknown
Iosco,Oscoda,Fire Related
Iosco,Oscoda,Fire Related
Iosco,Oscoda,Military
Iosco,Oscoda,Military
Iosco,Oscoda,Military
Iosco,Oscoda,MIlitary
Iosco,Oscoda,Unknown
Iosco,Oscoda ,Landfill
Isabella,Mount Pleasant,Landfill
Isabella,Mount Pleasant,Landfill
Isabella,Mount Pleasant,Refinery
Isabella,Mt. Pleasant,Laundromat/Dry Cleaner
Jackson,Clark Lake,Landfill
Jackson,Jackson,Plating
Jackson,Jackson,Plating
Jackson ,Jackson,Plating
Kalamazoo,Kalamazoo,Industrial
Kalamazoo,Kalamazoo,Industrial
Kalamazoo,Kalamazoo,Landfill
Kalamazoo,Kalamazoo,Landfill
Kalamazoo,Kalamazoo,Landfill
Kalamazoo,Kalamazoo,Paper Manufacturing
Kalamazoo,Kalamazoo,Paper Manufacturing
Kalamazoo,Kalamazoo Township,Landfill
Kalamazoo,Parchment,Landfill
Kalamazoo,Portage,Airport
Kalamazoo,Portage,Fire Related
Kalamazoo,Richland,Industrial
Kalamazoo,Vicksburg,Paper Manufacturing
Kalkaska,Kalkaska,Wastewater
Kent,Belmont,Landfill
Kent,Caledonia,Wastewater
Kent,Calgary,Industrial
Kent,Cedar Springs,Wastewater
Kent,Grand Rapids,Airport
Kent,Grand Rapids,Industrial
Kent,Grand Rapids,Landfill
Kent,Grand Rapids,Landfill
Kent,Grand Rapids,Landfill
Kent,Grand Rapids,Plating
Kent,Grand Rapids,Plating
Kent,Grand Rapids,Plating
Kent,Grand Rapids,Plating
Kent,Grattan,Landfill
Kent,Kentwood,Plating
Kent,Kentwood ,Plating
Kent,Plainfield Township,Landfill
Kent,Rockford,Industrial
Kent,Rockford,Landfill
Kent,Rockford,Tannery
Kent,Rockford,Tannery
Kent,Sparta,Landfill
Kent,Wyoming,Industrial
Kent,Wyoming,Plating
Kent ,Grand Rapids,Plating
Kent ,Walker,Landfill
Keweenaw ,Copper Harbor,Landfill
Lake,Baldwin,Laundromat/Dry Cleaner
Lapeer,Lapeer,Plating
Lapeer,Metamora,Landfill
Leelanau,Maple City,Landfill
Lenawee,Adrian,Landfill
Livingston,Brighton,Industrial
Livingston,Brighton,Industrial
Livingston,Brighton,Wastewater
Livingston,Brighton Township,Landfill
Livingston,Hamburg,Wastewater
Livingston,Howell,Airport
Livingston,Howell,Industrial
Livingston,Howell,Industrial
Livingston,Howell,Landfill
Livingston,Howell,Plating
Livingston,Howell ,Landfill
Livingston ,Brighton,Industrial
Mackinac,Mackinac Island,Landfill
Macomb,Harrison Charter Township,Military
Macomb,Macomb Township,Landfill
Macomb,Mount Clemens,Fire Related
Macomb,Warren,Military
Macomb,Washington,Landfill
Macomb,Washington,Landfill
Macomb ,Utica,Industrial
Manistee,Manistee,Airport
Manistee,Manistee,Landfill
Manistee,Manistee,Plating
Marquette,Gwinn,Military
Marquette ,Ishpeming,Landfill
Mason,Ludington,Wastewater
Mason ,Scottville,Landfill
Menominee,Menominee ,Landfill
Menominee ,Menominee,Fire Related
Missaukee,McBain,Wastewater
Monroe,Monroe,Industrial
Montcalm,Pierson,Landfill
Montcalm,Stanton,Landfill
Montcalm,Stanton,Wastewater
Montmorency,Atlanta,Landfill
Muskegon,Egelston Township,Industrial
Muskegon,Muskegon,Airport
Muskegon,Muskegon,Industrial
Muskegon,Muskegon,Industrial
Muskegon,Muskegon,Industrial 
Muskegon,Muskegon,Landfill
Muskegon,Muskegon,Paper Manufacturing
Muskegon,Muskegon,Plating
Muskegon,Muskegon,Wastewater
Muskegon,Muskegon (Fruitport Township),Laundromat/Dry Cleaner
Muskegon,Muskegon Heights,Plating
Muskegon,North Muskegon,Industrial
Muskegon,Ravenna,Landfill
Muskegon,Whitehall,Industrial
Muskegon,Whitehall,Wastewater
Muskegon ,Whitehall,Landfill
Muskegon ,Whitehall,Landfill
Newaygo,Fremont,Landfill
Newaygo,Grant,Wastewater
Oakland, Pontiac               ,Industrial
Oakland,Auburn Hills,Landfill
Oakland,Ferndale,Industrial
Oakland,Ferndale,Industrial
Oakland,Ferndale,Industrial
Oakland,Franklin,Unknown
Oakland,Highland Charter Twp,Industrial
Oakland,Holly,Landfill
Oakland,Lake Orion,Fire Related
Oakland,Madison Heights,Plating
Oakland,Ortonville,Wastewater
Oakland,Ortonville,Wastewater
Oakland,Pontiac,Landfill
Oakland,Rochester Hills,Landfill
Oakland,South Lyon,Industrial
Oakland,South Lyon,Wastewater
Oakland,Walled Lake,Industrial
Oakland,Waterford,Airport
Oakland,Waterford Township,Industrial
Oakland ,Waterford,Fire Related
Oakland ,Clarkston,Landfill
Oakland ,Northville,Landfill
Oakland ,Rochester Hills,Landfill
Oceana & Newaygo          ,Walkerville,Tannery
Otsego ,Gaylord,Industrial
Ottawa,Grand Haven,Fire Related
Ottawa,Grand Haven,Industrial
Ottawa,Grand Haven,Industrial
Ottawa,Holland,Industrial
Ottawa,Park Township,Landfill
Ottawa ,Tallmadge Charter Township,Landfill
Roscommon,Roscommon,Wastewater
Saginaw,Birch Run,Landfill
Saginaw,Saginaw,Industrial
Saginaw,Saginaw,Industrial
Saginaw ,Freeland,Airport
Saint Clair,Port Huron,Paper Manufacturing
Sanilac,Carsonville,Landfill
Schoolcraft,Manistique,Landfill
Schoolcraft,Manistique Hiawatha Township,Landfill
Schoolcraft ,Manistique,Landfill
Shiawassee,Lennon,Landfill
Shiawassee,Owosso,Plating
Shiawassee,Owosso Township ,Landfill
St. Clair,Fort Gratiot Township,Landfill
St. Clair,Port Huron,Landfill
St. Joseph,Sturgis,Landfill
St. Joseph,Three Rivers,Landfill
St. Joseph,White Pigeon,Paper Manufacturing
St. Joseph ,Mendon,Industrial
Van Buren,Hartford,Plating
Van Buren,Paw Paw,Industrial
Van Buren,South Haven,Industrial
Van Buren,South Haven,Plating
Van Buren ,Paw Paw,Plating
Washtenaw,Chelsea,Landfill
Washtenaw,Dexter,Industrial
Washtenaw,Dexter,Wastewater
Washtenaw,Northville,Landfill
Washtenaw,Saline,Industrial
Washtenaw,Saline,Plating
Washtenaw,Ypsilanti,Industrial
Washtenaw ,Chelsea,Industrial
Washtenaw ,Ypsilanti,Laundromat/Dry Cleaner
Wayne,Belleville,Landfill
Wayne,Belleville,Landfill
Wayne,Canton,Plating
Wayne,Dearborn,Industrial
Wayne,Detroit,Industrial
Wayne,Detroit,Industrial
Wayne,Detroit,Industrial
Wayne,Detroit,Refinery
Wayne,Gibraltar,Landfill
Wayne,Livonia,Industrial
Wayne,Romulus,Airport
Wayne,Romulus,Landfill
Wayne,Wyandotte,Industrial
Wayne and Washtenaw,Ypsilanti,Airport
Wayne ,Canton,Landfill
Wayne ,Trenton,Industrial
Wayne ,Wayne,Industrial